Ranking,University Name,Country,Website,Address,Year of foundation,Source
151-200,Harbin Institute of Technology,China,http://www.hit.edu.cn,"Harbin Institute of Technology, 92 West Dazhi Street, Nangang District, Harbin, Heilongjiang Province 150001, China",1920,
151-200,Hokkaido University,Japan,http://https://www.global.hokudai.ac.jp,"Kita 8, Nishi 5, Kita-ku",1876,
151-200,London School of Economics and Political Science,UK,http://www.lse.ac.uk,Houghton Street,1895,
151-200,Macquarie University,Australia,http://www.mq.edu.au,"Macquarie University, Balaclava Road, North Ryde, Sydney, New South Wales 2109, Australia",1964,
151-200,National Taiwan University,China-tw,http://www.ntu.edu.tw,"No. 1, Sec. 4, Roosevelt Road,",1928,
151-200,Oregon State University,USA,http://www.oregonstate.edu,"Oregon State University, Corvallis, Oregon 97331, United States of America",1858,
151-200,Queen Mary University of London,UK,http://www.qmul.ac.uk/,Mile End Road,1887,
151-200,Sapienza University of Rome,Italy,http://www.uniroma1.it,"Piazzale Aldo Moro, 5",1303,
151-200,Sichuan University,China,http://www.scu.edu.cn,"No.24 South Section 1, Yihuan Road",1896,
151-200,Sun Yat-sen University,China,http://www.sysu.edu.cn,"No. 135, Xingang Xi Road",1924,
151-200,Technical University of Denmark,Denmark,http://www.dtu.dk,Anker Engelunds Vej 1,1829,
151-200,Tel Aviv University,Israel,http://www.tau.ac.il,"Universitat Tel Aviv, PO Box 39040, Ramat-Aviv 69978, Israel",1956,
151-200,The Chinese University of Hong Kong,China-hk,http://www.cuhk.edu.hk,Shatin,1963,
151-200,The University of Calgary,Canada,http://www.ucalgary.ca,2500 University Drive NW,1945,
151-200,Tokyo Institute of Technology,Japan,http://www.titech.ac.jp/,"2-12-1 Ookayama, Meguro-ku",1881,
151-200,Trinity College Dublin,Ireland,http://www.tcd.ie,College Green,1592,
151-200,TU Dresden,Germany,http://tu-dresden.de,Helmholtzstraße 10,1828,
151-200,Tufts University,USA,http://www.tufts.edu,"Ballou Hall, 2nd Floor",1852,
151-200,Université Grenoble Alpes,France,http://www.univ-grenoble-alpes.fr,"621, avenue Centrale, Domaine universitaire de St Martin d'Hères, CS 40700",2016,
151-200,Université libre de Bruxelles (ULB),Belgium,http://www.ulbruxelles.be,"avenue F.D. Roosevelt, 50 - CP 131",1834,
151-200,University of Bordeaux,France,http://www.u-bordeaux.fr/,"35, place Pey-Berland",,
151-200,"University of California, Riverside",USA,http://www.ucr.edu,900 University Ave.,1954,
151-200,University of Delaware,USA,http://www.udel.edu,"University of Delaware, Newark, Delaware 19716, United States of America",1743,
151-200,University of Erlangen-Nuremberg,Germany,http://www.fau.de,Schlossplatz 4,1743,
151-200,University of Exeter,UK,http://www.ex.ac.uk,Prince of Wales Road,1955,
151-200,University of Gothenburg,Sweden,http://www.gu.se,PO Box 100,1891,
151-200,University of Hamburg,Germany,http://www.uni-hamburg.de,"Universität Hamburg, Edmund-Siemers-Allee 1, 20146 Hamburg, Germany",1919,
151-200,University of Innsbruck,Austria,http://www.uibk.ac.at/,Innrain 52,1669,
151-200,University of Iowa,USA,http://www.uiowa.edu,"University of Iowa, Iowa City, Iowa 52242-0001, United States of America",1847,
151-200,University of Kiel,Germany,http://www.uni-kiel.de,"Christian-Albrechts-Universität zu Kiel, Christian-Albrechts-Platz 4, 24098 Kiel, Germany",1665,
151-200,University of Lausanne,Switzerland,http://www.unil.ch,"Université de Lausanne, Dorigny, CH 1015 Lausanne, Switzerland",1537,
151-200,University of Leipzig,Germany,http://www.uni-leipzig.de,"Universität Leipzig, PO Box 100920, Ritterstrasse 26, 04009 Leipzig, Saxony, Germany",1409,
151-200,University of Lisbon,Portugal,http://www.ulisboa.pt,"Alameda da Universidade, Cidade Universitária",1288,
151-200,University of Massachusetts Amherst,USA,http://www.umass.edu,"University of Massachusetts at Amherst, Amherst, Massachusetts 01003-0001, United States of America",1863,
151-200,University of Massachusetts Medical School - Worcester,USA,http://www.umassmed.edu,"University of Massachusetts Medical School, 55 Lake Avenue North, Worcester, Massachusetts 01655-0001, United States of America",1962,
151-200,University of Miami,USA,http://www.miami.edu,"University of Miami, PO Box 248105, 1540 Corniche Ave, Coral Gables, Florida 33146-4020, United States of America",1925,
151-200,University of Montreal,Canada,http://www.umontreal.ca/,"C.P. 6128, succursale Centre-ville",1878,
151-200,University of Muenster,Germany,http://www.uni-muenster.de/en/,Schlossplatz 2,1780,
151-200,University of Nebraska - Lincoln,USA,http://www.unl.edu,"University of Nebraska-Lincoln, 14th and R Streets, Lincoln, Nebraska 68588-0002, United States of America",1869,
151-200,University of Ottawa,Canada,http://www.uottawa.ca,75 Laurier Avenue East,1848,
151-200,University of Padua,Italy,http://www.unipd.it,"via 8 Febbraio, 2 - 35122",1222,
151-200,University of Paris Descartes (Paris 5),France,http://www.univ-paris5.fr,"Université Paris Descartes(Paris V), 12, rue de l’Ecole de Médecine, 75270 Paris Cédex 06, France","12th,c",
151-200,University of Sao Paulo,Brazil,http://www.usp.br,"Rua da Reitoria, 374",1934,
151-200,University of Tuebingen,Germany,http://www.uni-tuebingen.de,Geschwister-Scholl-Platz,1477,
151-200,University of Vienna,Austria,http://www.univie.ac.at,"University Wien, Dr.-Karl-Lueger-Ring 1, 1010 Wien, Vienna, Austria",1365,
151-200,University of Virginia,USA,http://www.virginia.edu/,Po Box 400775,1819,
151-200,University of Wuerzburg,Germany,http://www.uni-wuerzburg.de/,Sanderring 2,1402,
201-300,Aalborg University,Denmark,http://www.en.aau.dk/,Fredrik Bajers Vej 5,1974,
201-300,Beijing Normal University,China,http://www.bnu.edu.cn/,"No. 19, Xinjiekouwaidajie, Haidian District",1902,
201-300,Chalmers University of Technology,Sweden,http://www.chalmers.se,"Chalmers tekniska högskola, Gothenburg, Sweden",1829,
201-300,Charles University in Prague,Czech,http://www.cuni.cz/UKEN-1.html,Ovocny trh 560/5,1348,
201-300,City University of Hong Kong,China-hk,http://www.cityu.edu.hk,83 Tat Chee Avenue,1984,
201-300,Claude Bernard University Lyon 1,France,http://www.univ-lyon1.fr/,43 boulevard du 11 novembre 1918,1971,
201-300,Colorado State University,USA,http://www.colostate.edu,"Colorado State University, Fort Collins, Colorado 80523-0015, United States of America",1870,
201-300,Dartmouth College,USA,http://www.dartmouth.edu,207 Parkhurst Hall,1769,
201-300,Deakin University,Australia,http://www.deakin.edu.au/,1 Gheringhap Street,1974,
201-300,Drexel University,USA,http://www.drexel.edu,3141 Chestnut St.,1891,
201-300,Durham University,UK,http://www.durham.ac.uk,"The Palatine Centre, Stockton Road",1832,
201-300,Ecole Normale Superieure - Lyon,France,http://www.ens-lyon.eu,15 parvis René Descartes,1880,
201-300,Florida State University,USA,http://www.fsu.edu,"Florida State University, Tallahassee, Florida 32306-1037, United States of America",1857,
201-300,George Mason University,USA,http://www.gmu.edu,4400 University Drive,1972,
201-300,Georgetown University,USA,http://www.georgetown.edu,"Georgetown University, 37th and O Street, N.W., Washington, D.C. 20057-1947, United States of America",1789,
201-300,Hanyang University,SouthKorea,http://www.hanyang.ac.kr,"Hanyang University, 17 Haengdang-dong, Seongdong-gu, Seoul 133-791, Korea, Republic of",1939,
201-300,Huazhong University of Science and Technology,China,http://www.hust.edu.cn,1037 Luoyu Road,1952,
201-300,Iowa State University,USA,http://www.iastate.edu,"Iowa State University, 100 Alumni Hall, Ames, Iowa 50011, United States of America",1858,
201-300,Karlsruhe Institute of Technology (KIT),Germany,http://www.kit.edu/kit/english/index.php,"Karlsruhe, Baden-Württemberg, German",1825,
201-300,King Abdullah University of Science and Technology,SaudiArabia,,,,
201-300,Korea Advanced Institute of Science and Technology,SouthKorea,http://www.kaist.edu/,"Korea Advanced Institute of Science and Technology, Yuseong, Daejeon, South Korea",1971,
201-300,Korea University,SouthKorea,http://www.korea.ac.kr,"Korea University, 5-1 Anam-dong, Seongbuk-gu, Seoul 136-701, Korea, Republic of",1905,
201-300,KTH Royal Institute of Technology,Sweden,http://www.kth.se,Brinellvägen 8,1827,
201-300,Kyushu University,Japan,http://www.kyushu-u.ac.jp,"Kyushu Daigaku, 6-10-1 Hakozaki, Higashi-ku, Fukuoka 812-8581, Japan",1903,
201-300,Linkoping University,Sweden,http://www.liu.se,Campus Valla,1967,
201-300,London School of Hygiene & Tropical Medicine,UK,http://www.lshtm.ac.uk,Keppel Street,1899,
201-300,Maastricht University,Netherlands,http://www.maastrichtuniversity.nl,Minderbroedersberg 4-6,1976,
201-300,Medical University of South Carolina,USA,http://www.musc.edu/,"Charleston, South Carolina, USA",1824,
201-300,Medical University of Vienna,Austria,http://www.meduniwien.ac.at/,"Medizinische University Wien, Dr. Karl-Leer-Ring 1, Wien, Vienna, Austria",2004,
201-300,Nanjing University,China,http://www.nju.edu.cn,22 Hankoulu Road,1902,
201-300,National Autonomous University of Mexico,Mexico,http://www.unam.mx/,"Ciudad Universitaria, México, D.F. C.P. 04510",1910,
201-300,Newcastle University,UK,http://www.ncl.ac.uk/,King's Gate,1963,
